base_fqdn,一级领域,二级能力,场景桶目标,层级目标,建议主要混淆,dev目标,当前dev,dev缺口,blind目标,当前blind,blind缺口,challenge目标,当前challenge,challenge缺口
permit.gov.cn,gov,permit,工信优先,仅base,词面重叠;治理回落,3,3,0,2,2,0,1,1,0
policy.gov.cn,gov,policy,工信优先,仅base,词面重叠;多意图,3,3,0,2,2,0,1,1,0
compliance.security.cn,security,compliance,工信优先,启用l3,治理回落;多意图,4,4,0,3,3,0,2,2,0
risk.security.cn,security,risk,工信优先,仅base,治理回落;多意图,3,3,0,2,2,0,1,1,0
fraud.security.cn,security,fraud,混合,仅base,词面重叠,1,1,0,1,1,0,1,1,0
invoice.finance.cn,finance,invoice,工信优先,启用l3,多意图;兄弟竞争;回落,4,4,0,3,3,0,2,2,0
tax.finance.cn,finance,tax,工信优先,仅base,多意图;跨域重叠,3,3,0,2,2,0,1,1,0
budget.finance.cn,finance,budget,工信优先,仅base,词面重叠,1,1,0,1,1,0,0,0,0
invest.finance.cn,finance,invest,非工信优先,仅base,词面重叠,1,1,0,1,1,0,0,0,0
meeting.productivity.cn,productivity,meeting,工信优先,启用l3,兄弟竞争;多意图,4,4,0,2,2,0,1,1,0
docs.productivity.cn,productivity,docs,工信优先,仅base,跨域重叠;多意图,4,4,0,2,2,0,1,1,0
price.commerce.cn,commerce,price,混合,仅base,兄弟竞争;多意图,3,3,0,1,1,0,1,1,0
coupon.commerce.cn,commerce,coupon,混合,仅base,兄弟竞争;跨域重叠,1,1,0,1,1,0,1,1,0
itinerary.travel.cn,travel,itinerary,非工信优先,启用l3,多意图;兄弟竞争,2,2,0,1,1,0,1,1,0
hotel.travel.cn,travel,hotel,非工信优先,启用l3,兄弟竞争;多意图,2,2,0,1,1,0,1,1,0
flight.travel.cn,travel,flight,非工信优先,仅base,兄弟竞争,1,1,0,1,1,0,1,1,0
restaurant.travel.cn,travel,restaurant,非工信优先,仅base,跨域重叠;多意图,1,1,0,1,1,0,0,0,0
activity.travel.cn,travel,activity,非工信优先,仅base,兄弟竞争,1,1,0,1,1,0,1,1,0
transport.travel.cn,travel,transport,混合,仅base,兄弟竞争;相关保留,1,1,0,1,1,0,1,1,0
weather.cn,weather,,混合,仅base,多意图;跨域重叠,2,2,0,1,1,0,1,1,0
nutrition.health.cn,health,nutrition,非工信优先,仅base,跨域重叠,1,1,0,1,1,0,1,1,0
fitness.health.cn,health,fitness,非工信优先,仅base,词面重叠,1,1,0,1,1,0,1,1,0
clinic.health.cn,health,clinic,非工信优先,仅base,词面重叠,1,1,0,1,1,0,1,1,0
course.education.cn,education,course,混合,仅base,跨域重叠,1,1,0,1,1,0,1,1,0
tutoring.education.cn,education,tutoring,非工信优先,仅base,词面重叠,1,1,0,1,1,0,1,1,0
